timestamp,src_ip,dst_ip,predicted_label,probability
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,75.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,77.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:21,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:12:21,125.209.230.135,192.168.0.25,PROBE,59.00%
2024-04-18 18:12:21,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,NORMAL,99.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,DOS,99.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,DOS,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,DOS,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,DOS,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:16:55,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:16:55,125.209.230.135,192.168.0.25,DOS,100.00%
2024-04-18 18:16:56,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:16:56,125.209.230.135,192.168.0.25,DOS,100.00%
2024-04-18 18:16:56,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,98.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,99.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,99.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,99.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,99.00%
